SampleID	name	Bray_Group	Latitude	Longitude	State	Location	Subsamples	Area_m2	Last_fire_y_ago	Collection_date	Biome	Bioregion	Ecoregion	Vegetation	delta15N	N_conc	P_conc	Abundance	Richness	Altitude	Precipitation	Ph	Temperature
S530	S530_Bella_Flor_2	I	20.86	-90.15	Yucatan	Bella_Flor_2	40	2500	100	07/09/2015	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	Tropical_Dry_Forest	2.864168805	9.59651103	0.603994334	3724	942	2	1000	8	27
S531	S531_Becanchen	I	19.96	-89.17	Yucatan	Becanchen	40	2500	100	08/09/2015	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	Tropical_Sub-perennial_Forest	1.40808441	24.68810893	40.17108251	4210	766	142	1000	7.3	27
S532	S532_Tulum	I	20.2	-87.48	Quintana Roo	Tulum	40	2500	100	09/09/2015	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	Tropical_Sub-perennial_Forest	1.563484805	22.70080935	16.71852843	3068	517	6	1350	7.6	25
S907	S907_Tepoztlan	VIII	19	-99.1	Morelos	Tepoztlan	40	2500	100	25/11/2018	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	Mixed_Forest	2.791207251	9.125428964	111.5520785	5709	1650	2061	1350	6.6	19
S908N	S908N_El_Zarco_1	VIII	19.28	-99.37	Estado de Mexico	El_Zarco_1	40	2500	100	26/11/2018	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	Quercus_Forest	0.14394703	6.218774146	3.91648213	6562	1619	3081	1350	5.7	9
S909	S909_El_Zarco_2	III	19.28	-99.37	Estado de Mexico	El_Zarco_2	40	2500	100	26/11/2018	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	Abies_Forest	0.173457181	9.123239862	37.76552113	6318	1132	3081	1350	5.7	9
S910N	S910N_Bosque_de_Tlalpan	VIII	19.29	-99.19	CDMX	Bosque_de_Tlalpan	40	2500	100	26/11/2018	forest: tropical broadleaf forest biome	Sierra Madre Forests and Mexican drylands bioregion	Central Mexican Matorral	Quercus_Forest	3.245482208	7.318165038	1.48942446	3181	954	2354	1000	5.9	15
S911	S911_Maravilla_Tenejapa	V	16.16	-91.31	Chiapas	Maravilla_Tenejapa	40	2500	100	04/12/2018	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Petén-Veracruz moist forests	Tropical_Rainforest	-0.098704032	13.34334939	9.330835149	5108	1391	494	3250	6	25
S912	S912_Lacantun	VIII	16.15	-90.89	Chiapas	Lacantun	40	2500	100	05/12/2018	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Petén-Veracruz moist forests	Mixed_Forest	1.955136411	11.88701868	30.90016245	2732	607	180	3250	5.6	25
S913	S913_CE_Las_Guacamayas	V	16.25	-90.83	Chiapas	CE_Las_Guacamayas	40	2500	100	06/12/2018	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Petén-Veracruz moist forests	Tropical_Rainforest	1.306230447	13.22188874	21.21567871	7140	1619	181	2250	6.1	25
S915	S915_Rancho_Calimayor	VIII	16.55	-93.88	Chiapas	Rancho_Calimayor	40	2500	100	07/12/2018	forest: tropical broadleaf forest biome	Central american Mixed forests bioregion	Chiapas Depression Dry Forests	Mixed_Forest	3.458522014	4.34374939	0.845460818	7855	1024	640	1350	7	17
S916	S916_La_Ventosa	II	16.6	-95.02	Oaxaca	La_Ventosa	40	2500	100	07/12/2018	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Dry_Forest	6.129795569	5.070063054	1.905430917	7645	1133	58	1000	7.4	23
S917	S917_Morro_de_Mazatán	II	16.11	-95.32	Oaxaca	Morro_de_Mazatan	40	2500	100	07/12/2018	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Dry_Forest	6.034679263	6.041548505	23.88370565	4992	957	228	1000	6.9	27
S918	S918_El_Limon	II	15.93	-95.78	Oaxaca	El_Limon	40	2500	100	08/12/2018	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Dry_Forest	6.740029111	2.107135083	1.715795587	7239	1177	7	500	6.1	27
S919	S919_Bahia_la_Boquilla	II	15.68	-96.47	Oaxaca	Bahia_la_Boquilla	40	2500	100	08/12/2018	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Sub-perennial_Forest	5.406604646	3.690142933	19.32758047	2965	681	68	1000	6.2	27
S920	S920_Yolina	II	15.72	-96.41	Oaxaca	Yolina	40	2500	100	08/12/2018	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	Tropical_Sub-perennial_Forest	5.213558951	2.599783346	52.88059107	4714	1116	167	1000	6.4	29
