spN	primary_lifestyle	species
Cladophialophora_sp154	soil_saprotroph	Cladophialophora_sp154
Cladophialophora_sp155	soil_saprotroph	Cladophialophora_sp155
Cladophialophora_sp156	soil_saprotroph	Cladophialophora_sp156
Cladophialophora_sp157	soil_saprotroph	Cladophialophora_sp157
Cladophialophora_sp161	soil_saprotroph	Cladophialophora_sp161
Cladophialophora_sp162	soil_saprotroph	Cladophialophora_sp162
Cladophialophora_sp163	soil_saprotroph	Cladophialophora_sp163
Cladophialophora_sp165	soil_saprotroph	Cladophialophora_sp165
Cladophialophora_sp166	soil_saprotroph	Cladophialophora_sp166
Cladophialophora_sp167	soil_saprotroph	Cladophialophora_sp167
Cladophialophora_sp168	soil_saprotroph	Cladophialophora_sp168
Cladophialophora_sp17	soil_saprotroph	Cladophialophora_sp17
Cladophialophora_sp171	soil_saprotroph	Cladophialophora_sp171
Cladophialophora_sp172	soil_saprotroph	Cladophialophora_sp172
Cladophialophora_sp174	soil_saprotroph	Cladophialophora_sp174
Cladophialophora_sp177	soil_saprotroph	Cladophialophora_sp177
Cladophialophora_sp178	soil_saprotroph	Cladophialophora_sp178
Cladophialophora_sp179	soil_saprotroph	Cladophialophora_sp179
Cladophialophora_sp18	soil_saprotroph	Cladophialophora_sp18
Cladophialophora_sp180	soil_saprotroph	Cladophialophora_sp180
Cladophialophora_sp181	soil_saprotroph	Cladophialophora_sp181
Cladophialophora_sp183	soil_saprotroph	Cladophialophora_sp183
Cladophialophora_sp186	soil_saprotroph	Cladophialophora_sp186
Cladophialophora_sp187	soil_saprotroph	Cladophialophora_sp187
Cladophialophora_sp188	soil_saprotroph	Cladophialophora_sp188
Cladophialophora_sp189	soil_saprotroph	Cladophialophora_sp189
Cladophialophora_sp191	soil_saprotroph	Cladophialophora_sp191
Cladophialophora_sp192	soil_saprotroph	Cladophialophora_sp192
Cladophialophora_sp193	soil_saprotroph	Cladophialophora_sp193
Cladophialophora_sp195	soil_saprotroph	Cladophialophora_sp195
Cladophialophora_sp196	soil_saprotroph	Cladophialophora_sp196
Cladophialophora_sp197	soil_saprotroph	Cladophialophora_sp197
Cladophialophora_sp198	soil_saprotroph	Cladophialophora_sp198
Cladophialophora_sp199	soil_saprotroph	Cladophialophora_sp199
Cladophialophora_sp2	soil_saprotroph	Cladophialophora_sp2
Cladophialophora_sp20	soil_saprotroph	Cladophialophora_sp20
Cladophialophora_sp200	soil_saprotroph	Cladophialophora_sp200
Cladophialophora_sp202	soil_saprotroph	Cladophialophora_sp202
Cladophialophora_sp203	soil_saprotroph	Cladophialophora_sp203
Cladophialophora_sp204	soil_saprotroph	Cladophialophora_sp204
Cladophialophora_sp205	soil_saprotroph	Cladophialophora_sp205
Cladophialophora_sp207	soil_saprotroph	Cladophialophora_sp207
Cladophialophora_sp208	soil_saprotroph	Cladophialophora_sp208
Cladophialophora_sp209	soil_saprotroph	Cladophialophora_sp209
Cladophialophora_sp21	soil_saprotroph	Cladophialophora_sp21
Cladophialophora_sp210	soil_saprotroph	Cladophialophora_sp210
Cladophialophora_sp213	soil_saprotroph	Cladophialophora_sp213
Cladophialophora_sp214	soil_saprotroph	Cladophialophora_sp214
Cladophialophora_sp215	soil_saprotroph	Cladophialophora_sp215
Cladophialophora_sp216	soil_saprotroph	Cladophialophora_sp216
Cladophialophora_sp217	soil_saprotroph	Cladophialophora_sp217
Cladophialophora_sp219	soil_saprotroph	Cladophialophora_sp219
Cladophialophora_sp22	soil_saprotroph	Cladophialophora_sp22
Cladophialophora_sp220	soil_saprotroph	Cladophialophora_sp220
Cladophialophora_sp222	soil_saprotroph	Cladophialophora_sp222
Cladophialophora_sp224	soil_saprotroph	Cladophialophora_sp224
Cladophialophora_sp225	soil_saprotroph	Cladophialophora_sp225
Cladophialophora_sp226	soil_saprotroph	Cladophialophora_sp226
Cladophialophora_sp227	soil_saprotroph	Cladophialophora_sp227
Cladophialophora_sp229	soil_saprotroph	Cladophialophora_sp229
Cladophialophora_sp23	soil_saprotroph	Cladophialophora_sp23
Cladophialophora_sp230	soil_saprotroph	Cladophialophora_sp230
Cladophialophora_sp231	soil_saprotroph	Cladophialophora_sp231
Cladophialophora_sp232	soil_saprotroph	Cladophialophora_sp232
Cladophialophora_sp233	soil_saprotroph	Cladophialophora_sp233
Cladophialophora_sp234	soil_saprotroph	Cladophialophora_sp234
Cladophialophora_sp235	soil_saprotroph	Cladophialophora_sp235
Cladophialophora_sp236	soil_saprotroph	Cladophialophora_sp236
Cladophialophora_sp237	soil_saprotroph	Cladophialophora_sp237
Cladophialophora_sp239	soil_saprotroph	Cladophialophora_sp239
Cladophialophora_sp24	soil_saprotroph	Cladophialophora_sp24
Cladophialophora_sp240	soil_saprotroph	Cladophialophora_sp240
Cladophialophora_sp241	soil_saprotroph	Cladophialophora_sp241
Cladophialophora_sp242	soil_saprotroph	Cladophialophora_sp242
Cladophialophora_sp243	soil_saprotroph	Cladophialophora_sp243
Cladophialophora_sp244	soil_saprotroph	Cladophialophora_sp244
Cladophialophora_sp245	soil_saprotroph	Cladophialophora_sp245
Cladophialophora_sp246	soil_saprotroph	Cladophialophora_sp246
Cladophialophora_sp247	soil_saprotroph	Cladophialophora_sp247
Cladophialophora_sp248	soil_saprotroph	Cladophialophora_sp248
Cladophialophora_sp249	soil_saprotroph	Cladophialophora_sp249
Cladophialophora_sp25	soil_saprotroph	Cladophialophora_sp25
Cladophialophora_sp251	soil_saprotroph	Cladophialophora_sp251
Cladophialophora_sp253	soil_saprotroph	Cladophialophora_sp253
Cladophialophora_sp254	soil_saprotroph	Cladophialophora_sp254
Cladophialophora_sp257	soil_saprotroph	Cladophialophora_sp257
Cladophialophora_sp258	soil_saprotroph	Cladophialophora_sp258
Cladophialophora_sp259	soil_saprotroph	Cladophialophora_sp259
Cladophialophora_sp26	soil_saprotroph	Cladophialophora_sp26
Cladophialophora_sp260	soil_saprotroph	Cladophialophora_sp260
Cladophialophora_sp262	soil_saprotroph	Cladophialophora_sp262
Cladophialophora_sp263	soil_saprotroph	Cladophialophora_sp263
Cladophialophora_sp265	soil_saprotroph	Cladophialophora_sp265
Cladophialophora_sp266	soil_saprotroph	Cladophialophora_sp266
Cladophialophora_sp268	soil_saprotroph	Cladophialophora_sp268
Cladophialophora_sp269	soil_saprotroph	Cladophialophora_sp269
Cladophialophora_sp27	soil_saprotroph	Cladophialophora_sp27
Cladophialophora_sp270	soil_saprotroph	Cladophialophora_sp270
Cladophialophora_sp271	soil_saprotroph	Cladophialophora_sp271
Cladophialophora_sp272	soil_saprotroph	Cladophialophora_sp272
Cladophialophora_sp274	soil_saprotroph	Cladophialophora_sp274
Cladophialophora_sp275	soil_saprotroph	Cladophialophora_sp275
Cladophialophora_sp276	soil_saprotroph	Cladophialophora_sp276
Cladophialophora_sp277	soil_saprotroph	Cladophialophora_sp277
Cladophialophora_sp278	soil_saprotroph	Cladophialophora_sp278
Cladophialophora_sp28	soil_saprotroph	Cladophialophora_sp28
Cladophialophora_sp280	soil_saprotroph	Cladophialophora_sp280
Cladophialophora_sp281	soil_saprotroph	Cladophialophora_sp281
Cladophialophora_sp282	soil_saprotroph	Cladophialophora_sp282
Cladophialophora_sp283	soil_saprotroph	Cladophialophora_sp283
Cladophialophora_sp284	soil_saprotroph	Cladophialophora_sp284
Cladophialophora_sp285	soil_saprotroph	Cladophialophora_sp285
Cladophialophora_sp286	soil_saprotroph	Cladophialophora_sp286
Cladophialophora_sp287	soil_saprotroph	Cladophialophora_sp287
Cladophialophora_sp288	soil_saprotroph	Cladophialophora_sp288
Cladophialophora_sp29	soil_saprotroph	Cladophialophora_sp29
Cladophialophora_sp291	soil_saprotroph	Cladophialophora_sp291
Cladophialophora_sp292	soil_saprotroph	Cladophialophora_sp292
Cladophialophora_sp293	soil_saprotroph	Cladophialophora_sp293
Cladophialophora_sp294	soil_saprotroph	Cladophialophora_sp294
Cladophialophora_sp297	soil_saprotroph	Cladophialophora_sp297
Cladophialophora_sp298	soil_saprotroph	Cladophialophora_sp298
Cladophialophora_sp299	soil_saprotroph	Cladophialophora_sp299
Cladophialophora_sp3	soil_saprotroph	Cladophialophora_sp3
Cladophialophora_sp30	soil_saprotroph	Cladophialophora_sp30
Cladophialophora_sp300	soil_saprotroph	Cladophialophora_sp300
Cladophialophora_sp304	soil_saprotroph	Cladophialophora_sp304
Cladophialophora_sp305	soil_saprotroph	Cladophialophora_sp305
Cladophialophora_sp306	soil_saprotroph	Cladophialophora_sp306
Cladophialophora_sp307	soil_saprotroph	Cladophialophora_sp307
Cladophialophora_sp308	soil_saprotroph	Cladophialophora_sp308
Cladophialophora_sp31	soil_saprotroph	Cladophialophora_sp31
Cladophialophora_sp311	soil_saprotroph	Cladophialophora_sp311
Cladophialophora_sp312	soil_saprotroph	Cladophialophora_sp312
Cladophialophora_sp313	soil_saprotroph	Cladophialophora_sp313
Cladophialophora_sp315	soil_saprotroph	Cladophialophora_sp315
Cladophialophora_sp316	soil_saprotroph	Cladophialophora_sp316
Cladophialophora_sp317	soil_saprotroph	Cladophialophora_sp317
Cladophialophora_sp318	soil_saprotroph	Cladophialophora_sp318
Cladophialophora_sp319	soil_saprotroph	Cladophialophora_sp319
Cladophialophora_sp32	soil_saprotroph	Cladophialophora_sp32
Cladophialophora_sp321	soil_saprotroph	Cladophialophora_sp321
Cladophialophora_sp324	soil_saprotroph	Cladophialophora_sp324
Cladophialophora_sp325	soil_saprotroph	Cladophialophora_sp325
Cladophialophora_sp326	soil_saprotroph	Cladophialophora_sp326
Cladophialophora_sp329	soil_saprotroph	Cladophialophora_sp329
Cladophialophora_sp331	soil_saprotroph	Cladophialophora_sp331
Cladophialophora_sp332	soil_saprotroph	Cladophialophora_sp332
Cladophialophora_sp333	soil_saprotroph	Cladophialophora_sp333
Cladophialophora_sp334	soil_saprotroph	Cladophialophora_sp334
Cladophialophora_sp335	soil_saprotroph	Cladophialophora_sp335
Cladophialophora_sp336	soil_saprotroph	Cladophialophora_sp336
Cladophialophora_sp337	soil_saprotroph	Cladophialophora_sp337
Cladophialophora_sp338	soil_saprotroph	Cladophialophora_sp338
Cladophialophora_sp339	soil_saprotroph	Cladophialophora_sp339
Cladophialophora_sp34	soil_saprotroph	Cladophialophora_sp34
Cladophialophora_sp341	soil_saprotroph	Cladophialophora_sp341
Cladophialophora_sp342	soil_saprotroph	Cladophialophora_sp342
Cladophialophora_sp343	soil_saprotroph	Cladophialophora_sp343
Cladophialophora_sp344	soil_saprotroph	Cladophialophora_sp344
Cladophialophora_sp345	soil_saprotroph	Cladophialophora_sp345
Cladophialophora_sp346	soil_saprotroph	Cladophialophora_sp346
Cladophialophora_sp347	soil_saprotroph	Cladophialophora_sp347
Cladophialophora_sp348	soil_saprotroph	Cladophialophora_sp348
Cladophialophora_sp349	soil_saprotroph	Cladophialophora_sp349
Cladophialophora_sp35	soil_saprotroph	Cladophialophora_sp35
Cladophialophora_sp350	soil_saprotroph	Cladophialophora_sp350
Cladophialophora_sp351	soil_saprotroph	Cladophialophora_sp351
Cladophialophora_sp352	soil_saprotroph	Cladophialophora_sp352
Cladophialophora_sp353	soil_saprotroph	Cladophialophora_sp353
Cladophialophora_sp354	soil_saprotroph	Cladophialophora_sp354
Cladophialophora_sp356	soil_saprotroph	Cladophialophora_sp356
Cladophialophora_sp358	soil_saprotroph	Cladophialophora_sp358
Cladophialophora_sp359	soil_saprotroph	Cladophialophora_sp359
Cladophialophora_sp360	soil_saprotroph	Cladophialophora_sp360
Cladophialophora_sp362	soil_saprotroph	Cladophialophora_sp362
Cladophialophora_sp363	soil_saprotroph	Cladophialophora_sp363
Cladophialophora_sp364	soil_saprotroph	Cladophialophora_sp364
Cladophialophora_sp365	soil_saprotroph	Cladophialophora_sp365
Cladophialophora_sp366	soil_saprotroph	Cladophialophora_sp366
Cladophialophora_sp367	soil_saprotroph	Cladophialophora_sp367
Cladophialophora_sp368	soil_saprotroph	Cladophialophora_sp368
Cladophialophora_sp369	soil_saprotroph	Cladophialophora_sp369
Cladophialophora_sp37	soil_saprotroph	Cladophialophora_sp37
Cladophialophora_sp370	soil_saprotroph	Cladophialophora_sp370
Cladophialophora_sp371	soil_saprotroph	Cladophialophora_sp371
Cladophialophora_sp372	soil_saprotroph	Cladophialophora_sp372
Cladophialophora_sp373	soil_saprotroph	Cladophialophora_sp373
Cladophialophora_sp375	soil_saprotroph	Cladophialophora_sp375
Cladophialophora_sp376	soil_saprotroph	Cladophialophora_sp376
Cladophialophora_sp378	soil_saprotroph	Cladophialophora_sp378
Cladophialophora_sp379	soil_saprotroph	Cladophialophora_sp379
Cladophialophora_sp38	soil_saprotroph	Cladophialophora_sp38
Cladophialophora_sp380	soil_saprotroph	Cladophialophora_sp380
Cladophialophora_sp381	soil_saprotroph	Cladophialophora_sp381
Cladophialophora_sp382	soil_saprotroph	Cladophialophora_sp382
Cladophialophora_sp383	soil_saprotroph	Cladophialophora_sp383
Cladophialophora_sp384	soil_saprotroph	Cladophialophora_sp384
Cladophialophora_sp385	soil_saprotroph	Cladophialophora_sp385
Cladophialophora_sp386	soil_saprotroph	Cladophialophora_sp386
Cladophialophora_sp387	soil_saprotroph	Cladophialophora_sp387
Cladophialophora_sp388	soil_saprotroph	Cladophialophora_sp388
Cladophialophora_sp39	soil_saprotroph	Cladophialophora_sp39
Cladophialophora_sp390	soil_saprotroph	Cladophialophora_sp390
Cladophialophora_sp391	soil_saprotroph	Cladophialophora_sp391
Cladophialophora_sp392	soil_saprotroph	Cladophialophora_sp392
Cladophialophora_sp394	soil_saprotroph	Cladophialophora_sp394
Cladophialophora_sp395	soil_saprotroph	Cladophialophora_sp395
Cladophialophora_sp396	soil_saprotroph	Cladophialophora_sp396
Cladophialophora_sp397	soil_saprotroph	Cladophialophora_sp397
Cladophialophora_sp399	soil_saprotroph	Cladophialophora_sp399
Cladophialophora_sp4	soil_saprotroph	Cladophialophora_sp4
Cladophialophora_sp400	soil_saprotroph	Cladophialophora_sp400
Cladophialophora_sp402	soil_saprotroph	Cladophialophora_sp402
Cladophialophora_sp403	soil_saprotroph	Cladophialophora_sp403
Cladophialophora_sp404	soil_saprotroph	Cladophialophora_sp404
Cladophialophora_sp405	soil_saprotroph	Cladophialophora_sp405
Cladophialophora_sp406	soil_saprotroph	Cladophialophora_sp406
Cladophialophora_sp407	soil_saprotroph	Cladophialophora_sp407
Cladophialophora_sp408	soil_saprotroph	Cladophialophora_sp408
Cladophialophora_sp41	soil_saprotroph	Cladophialophora_sp41
Cladophialophora_sp410	soil_saprotroph	Cladophialophora_sp410
Cladophialophora_sp412	soil_saprotroph	Cladophialophora_sp412
Cladophialophora_sp413	soil_saprotroph	Cladophialophora_sp413
Cladophialophora_sp415	soil_saprotroph	Cladophialophora_sp415
Cladophialophora_sp416	soil_saprotroph	Cladophialophora_sp416
Cladophialophora_sp417	soil_saprotroph	Cladophialophora_sp417
Cladophialophora_sp418	soil_saprotroph	Cladophialophora_sp418
Cladophialophora_sp419	soil_saprotroph	Cladophialophora_sp419
Cladophialophora_sp42	soil_saprotroph	Cladophialophora_sp42
Cladophialophora_sp420	soil_saprotroph	Cladophialophora_sp420
Cladophialophora_sp421	soil_saprotroph	Cladophialophora_sp421
Cladophialophora_sp424	soil_saprotroph	Cladophialophora_sp424
Cladophialophora_sp425	soil_saprotroph	Cladophialophora_sp425
Cladophialophora_sp426	soil_saprotroph	Cladophialophora_sp426
Cladophialophora_sp428	soil_saprotroph	Cladophialophora_sp428
Cladophialophora_sp430	soil_saprotroph	Cladophialophora_sp430
Cladophialophora_sp431	soil_saprotroph	Cladophialophora_sp431
Cladophialophora_sp432	soil_saprotroph	Cladophialophora_sp432
Cladophialophora_sp433	soil_saprotroph	Cladophialophora_sp433
Cladophialophora_sp434	soil_saprotroph	Cladophialophora_sp434
Cladophialophora_sp435	soil_saprotroph	Cladophialophora_sp435
Cladophialophora_sp436	soil_saprotroph	Cladophialophora_sp436
Cladophialophora_sp438	soil_saprotroph	Cladophialophora_sp438
Cladophialophora_sp439	soil_saprotroph	Cladophialophora_sp439
Cladophialophora_sp44	soil_saprotroph	Cladophialophora_sp44
Cladophialophora_sp440	soil_saprotroph	Cladophialophora_sp440
Cladophialophora_sp441	soil_saprotroph	Cladophialophora_sp441
Cladophialophora_sp442	soil_saprotroph	Cladophialophora_sp442
Cladophialophora_sp445	soil_saprotroph	Cladophialophora_sp445
Cladophialophora_sp446	soil_saprotroph	Cladophialophora_sp446
Cladophialophora_sp447	soil_saprotroph	Cladophialophora_sp447
Cladophialophora_sp448	soil_saprotroph	Cladophialophora_sp448
Cladophialophora_sp449	soil_saprotroph	Cladophialophora_sp449
Cladophialophora_sp45	soil_saprotroph	Cladophialophora_sp45
Cladophialophora_sp450	soil_saprotroph	Cladophialophora_sp450
Cladophialophora_sp451	soil_saprotroph	Cladophialophora_sp451
Cladophialophora_sp454	soil_saprotroph	Cladophialophora_sp454
Cladophialophora_sp455	soil_saprotroph	Cladophialophora_sp455
Cladophialophora_sp456	soil_saprotroph	Cladophialophora_sp456
Cladophialophora_sp458	soil_saprotroph	Cladophialophora_sp458
Cladophialophora_sp459	soil_saprotroph	Cladophialophora_sp459
Cladophialophora_sp46	soil_saprotroph	Cladophialophora_sp46
Cladophialophora_sp460	soil_saprotroph	Cladophialophora_sp460
Cladophialophora_sp461	soil_saprotroph	Cladophialophora_sp461
Cladophialophora_sp463	soil_saprotroph	Cladophialophora_sp463
Cladophialophora_sp465	soil_saprotroph	Cladophialophora_sp465
Cladophialophora_sp466	soil_saprotroph	Cladophialophora_sp466
Cladophialophora_sp467	soil_saprotroph	Cladophialophora_sp467
Cladophialophora_sp468	soil_saprotroph	Cladophialophora_sp468
Cladophialophora_sp469	soil_saprotroph	Cladophialophora_sp469
Cladophialophora_sp47	soil_saprotroph	Cladophialophora_sp47
Cladophialophora_sp471	soil_saprotroph	Cladophialophora_sp471
Cladophialophora_sp473	soil_saprotroph	Cladophialophora_sp473
Cladophialophora_sp474	soil_saprotroph	Cladophialophora_sp474
Cladophialophora_sp475	soil_saprotroph	Cladophialophora_sp475
Cladophialophora_sp476	soil_saprotroph	Cladophialophora_sp476
Cladophialophora_sp477	soil_saprotroph	Cladophialophora_sp477
Cladophialophora_sp478	soil_saprotroph	Cladophialophora_sp478
Cladophialophora_sp479	soil_saprotroph	Cladophialophora_sp479
Cladophialophora_sp48	soil_saprotroph	Cladophialophora_sp48
Cladophialophora_sp484	soil_saprotroph	Cladophialophora_sp484
Cladophialophora_sp485	soil_saprotroph	Cladophialophora_sp485
Cladophialophora_sp486	soil_saprotroph	Cladophialophora_sp486
Cladophialophora_sp488	soil_saprotroph	Cladophialophora_sp488
Cladophialophora_sp489	soil_saprotroph	Cladophialophora_sp489
Cladophialophora_sp49	soil_saprotroph	Cladophialophora_sp49
Cladophialophora_sp491	soil_saprotroph	Cladophialophora_sp491
Cladophialophora_sp492	soil_saprotroph	Cladophialophora_sp492
Cladophialophora_sp493	soil_saprotroph	Cladophialophora_sp493
Cladophialophora_sp494	soil_saprotroph	Cladophialophora_sp494
Cladophialophora_sp496	soil_saprotroph	Cladophialophora_sp496
Cladophialophora_sp497	soil_saprotroph	Cladophialophora_sp497
Cladophialophora_sp498	soil_saprotroph	Cladophialophora_sp498
Cladophialophora_sp499	soil_saprotroph	Cladophialophora_sp499
Cladophialophora_sp5	soil_saprotroph	Cladophialophora_sp5
Cladophialophora_sp50	soil_saprotroph	Cladophialophora_sp50
Cladophialophora_sp500	soil_saprotroph	Cladophialophora_sp500
Cladophialophora_sp501	soil_saprotroph	Cladophialophora_sp501
Cladophialophora_sp502	soil_saprotroph	Cladophialophora_sp502
Cladophialophora_sp503	soil_saprotroph	Cladophialophora_sp503
Cladophialophora_sp504	soil_saprotroph	Cladophialophora_sp504
Cladophialophora_sp505	soil_saprotroph	Cladophialophora_sp505
Cladophialophora_sp507	soil_saprotroph	Cladophialophora_sp507
Cladophialophora_sp508	soil_saprotroph	Cladophialophora_sp508
Cladophialophora_sp509	soil_saprotroph	Cladophialophora_sp509
Cladophialophora_sp510	soil_saprotroph	Cladophialophora_sp510
Cladophialophora_sp512	soil_saprotroph	Cladophialophora_sp512
Cladophialophora_sp513	soil_saprotroph	Cladophialophora_sp513
Cladophialophora_sp516	soil_saprotroph	Cladophialophora_sp516
Cladophialophora_sp517	soil_saprotroph	Cladophialophora_sp517
Cladophialophora_sp518	soil_saprotroph	Cladophialophora_sp518
Cladophialophora_sp519	soil_saprotroph	Cladophialophora_sp519
Cladophialophora_sp52	soil_saprotroph	Cladophialophora_sp52
Cladophialophora_sp520	soil_saprotroph	Cladophialophora_sp520
Cladophialophora_sp521	soil_saprotroph	Cladophialophora_sp521
Cladophialophora_sp522	soil_saprotroph	Cladophialophora_sp522
Cladophialophora_sp523	soil_saprotroph	Cladophialophora_sp523
Cladophialophora_sp524	soil_saprotroph	Cladophialophora_sp524
Cladophialophora_sp525	soil_saprotroph	Cladophialophora_sp525
Cladophialophora_sp526	soil_saprotroph	Cladophialophora_sp526
Cladophialophora_sp529	soil_saprotroph	Cladophialophora_sp529
Cladophialophora_sp53	soil_saprotroph	Cladophialophora_sp53
Cladophialophora_sp530	soil_saprotroph	Cladophialophora_sp530
Cladophialophora_sp531	soil_saprotroph	Cladophialophora_sp531
Cladophialophora_sp533	soil_saprotroph	Cladophialophora_sp533
Cladophialophora_sp534	soil_saprotroph	Cladophialophora_sp534
Cladophialophora_sp535	soil_saprotroph	Cladophialophora_sp535
Cladophialophora_sp536	soil_saprotroph	Cladophialophora_sp536
Cladophialophora_sp537	soil_saprotroph	Cladophialophora_sp537
Cladophialophora_sp538	soil_saprotroph	Cladophialophora_sp538
Cladophialophora_sp539	soil_saprotroph	Cladophialophora_sp539
Cladophialophora_sp540	soil_saprotroph	Cladophialophora_sp540
Cladophialophora_sp541	soil_saprotroph	Cladophialophora_sp541
Cladophialophora_sp542	soil_saprotroph	Cladophialophora_sp542
Cladophialophora_sp543	soil_saprotroph	Cladophialophora_sp543
Cladophialophora_sp544	soil_saprotroph	Cladophialophora_sp544
Cladophialophora_sp546	soil_saprotroph	Cladophialophora_sp546
Cladophialophora_sp548	soil_saprotroph	Cladophialophora_sp548
Cladophialophora_sp549	soil_saprotroph	Cladophialophora_sp549
Cladophialophora_sp55	soil_saprotroph	Cladophialophora_sp55
Cladophialophora_sp550	soil_saprotroph	Cladophialophora_sp550
Cladophialophora_sp551	soil_saprotroph	Cladophialophora_sp551
Cladophialophora_sp552	soil_saprotroph	Cladophialophora_sp552
Cladophialophora_sp553	soil_saprotroph	Cladophialophora_sp553
Cladophialophora_sp554	soil_saprotroph	Cladophialophora_sp554
Cladophialophora_sp555	soil_saprotroph	Cladophialophora_sp555
Cladophialophora_sp557	soil_saprotroph	Cladophialophora_sp557
Cladophialophora_sp558	soil_saprotroph	Cladophialophora_sp558
Cladophialophora_sp559	soil_saprotroph	Cladophialophora_sp559
Cladophialophora_sp560	soil_saprotroph	Cladophialophora_sp560
Cladophialophora_sp561	soil_saprotroph	Cladophialophora_sp561
Cladophialophora_sp563	soil_saprotroph	Cladophialophora_sp563
Cladophialophora_sp564	soil_saprotroph	Cladophialophora_sp564
Cladophialophora_sp566	soil_saprotroph	Cladophialophora_sp566
Cladophialophora_sp568	soil_saprotroph	Cladophialophora_sp568
Cladophialophora_sp569	soil_saprotroph	Cladophialophora_sp569
Cladophialophora_sp57	soil_saprotroph	Cladophialophora_sp57
Cladophialophora_sp570	soil_saprotroph	Cladophialophora_sp570
Cladophialophora_sp571	soil_saprotroph	Cladophialophora_sp571
Cladophialophora_sp572	soil_saprotroph	Cladophialophora_sp572
Cladophialophora_sp573	soil_saprotroph	Cladophialophora_sp573
Cladophialophora_sp574	soil_saprotroph	Cladophialophora_sp574
Cladophialophora_sp577	soil_saprotroph	Cladophialophora_sp577
Cladophialophora_sp578	soil_saprotroph	Cladophialophora_sp578
Cladophialophora_sp579	soil_saprotroph	Cladophialophora_sp579
Cladophialophora_sp58	soil_saprotroph	Cladophialophora_sp58
Cladophialophora_sp581	soil_saprotroph	Cladophialophora_sp581
Cladophialophora_sp582	soil_saprotroph	Cladophialophora_sp582
Cladophialophora_sp583	soil_saprotroph	Cladophialophora_sp583
Cladophialophora_sp585	soil_saprotroph	Cladophialophora_sp585
Cladophialophora_sp586	soil_saprotroph	Cladophialophora_sp586
Cladophialophora_sp587	soil_saprotroph	Cladophialophora_sp587
Cladophialophora_sp588	soil_saprotroph	Cladophialophora_sp588
Cladophialophora_sp589	soil_saprotroph	Cladophialophora_sp589
Cladophialophora_sp59	soil_saprotroph	Cladophialophora_sp59
Cladophialophora_sp590	soil_saprotroph	Cladophialophora_sp590
Cladophialophora_sp591	soil_saprotroph	Cladophialophora_sp591
Cladophialophora_sp593	soil_saprotroph	Cladophialophora_sp593
Cladophialophora_sp594	soil_saprotroph	Cladophialophora_sp594
Cladophialophora_sp596	soil_saprotroph	Cladophialophora_sp596
Cladophialophora_sp597	soil_saprotroph	Cladophialophora_sp597
Cladophialophora_sp598	soil_saprotroph	Cladophialophora_sp598
Cladophialophora_sp599	soil_saprotroph	Cladophialophora_sp599
Cladophialophora_sp6	soil_saprotroph	Cladophialophora_sp6
Cladophialophora_sp60	soil_saprotroph	Cladophialophora_sp60
Cladophialophora_sp600	soil_saprotroph	Cladophialophora_sp600
Cladophialophora_sp602	soil_saprotroph	Cladophialophora_sp602
Cladophialophora_sp603	soil_saprotroph	Cladophialophora_sp603
Cladophialophora_sp604	soil_saprotroph	Cladophialophora_sp604
Cladophialophora_sp605	soil_saprotroph	Cladophialophora_sp605
Cladophialophora_sp606	soil_saprotroph	Cladophialophora_sp606
Cladophialophora_sp607	soil_saprotroph	Cladophialophora_sp607
Cladophialophora_sp61	soil_saprotroph	Cladophialophora_sp61
Cladophialophora_sp611	soil_saprotroph	Cladophialophora_sp611
Cladophialophora_sp612	soil_saprotroph	Cladophialophora_sp612
Cladophialophora_sp614	soil_saprotroph	Cladophialophora_sp614
Cladophialophora_sp617	soil_saprotroph	Cladophialophora_sp617
Cladophialophora_sp618	soil_saprotroph	Cladophialophora_sp618
Cladophialophora_sp619	soil_saprotroph	Cladophialophora_sp619
Cladophialophora_sp62	soil_saprotroph	Cladophialophora_sp62
Cladophialophora_sp622	soil_saprotroph	Cladophialophora_sp622
Cladophialophora_sp624	soil_saprotroph	Cladophialophora_sp624
Cladophialophora_sp626	soil_saprotroph	Cladophialophora_sp626
Cladophialophora_sp629	soil_saprotroph	Cladophialophora_sp629
Cladophialophora_sp63	soil_saprotroph	Cladophialophora_sp63
Cladophialophora_sp630	soil_saprotroph	Cladophialophora_sp630
Cladophialophora_sp631	soil_saprotroph	Cladophialophora_sp631
Cladophialophora_sp632	soil_saprotroph	Cladophialophora_sp632
Cladophialophora_sp633	soil_saprotroph	Cladophialophora_sp633
Cladophialophora_sp634	soil_saprotroph	Cladophialophora_sp634
Cladophialophora_sp635	soil_saprotroph	Cladophialophora_sp635
Cladophialophora_sp637	soil_saprotroph	Cladophialophora_sp637
Cladophialophora_sp638	soil_saprotroph	Cladophialophora_sp638
Cladophialophora_sp639	soil_saprotroph	Cladophialophora_sp639
Cladophialophora_sp64	soil_saprotroph	Cladophialophora_sp64
Cladophialophora_sp640	soil_saprotroph	Cladophialophora_sp640
Cladophialophora_sp642	soil_saprotroph	Cladophialophora_sp642
Cladophialophora_sp643	soil_saprotroph	Cladophialophora_sp643
Cladophialophora_sp644	soil_saprotroph	Cladophialophora_sp644
Cladophialophora_sp645	soil_saprotroph	Cladophialophora_sp645
Cladophialophora_sp647	soil_saprotroph	Cladophialophora_sp647
Cladophialophora_sp65	soil_saprotroph	Cladophialophora_sp65
