SampleID	sample	Latitude	longitude	Area	Pais	Estado	Zona	Localidad	subsamples	area_m2	Last_fire_y_ago	collection_date	biome	bioregion	ecoregion	Bray_Group	vegetacion	nativeness	warning	delta15N	N_conc_g_kg	P_conc_mg_kg	abund	richness	mold_Eurotiales_Abundance	mold_Mortierellales_Abundance	mold_Mucorales_Abundance	mold_Trichoderma_Abundance	mold_Umbelopsidales_Abundance
S907_Tepoztlan	S907	19	-99.1	Mexico:Tepoztlan, morelos	MÃ©xico	Morelos	TepoztlÃ¡n	Tepoztlan	40	2500	100	43429	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	VIII	Bosque_de_Pino_Mesofilo_de_Montana			2.791207251	9.125428964	111.5520785	5709	1650	2.557365563	2.977754423	0.367840252	0.262743037	0.052548607
MX32_Lagos_de_Monte_Bello_2	MX32	16.11	-91.68	Mexico:Chiapas:Lagos de Monte Bello	MÃ©xico	Chiapas	Nuevo BelÃ©n	Lagos_de_Monte_Bello_2	40	2500	100	43305	forest: tropical coniferous forest biome	Central american Mixed forests bioregion	Chiapas Montane Forests	VIII	Bosque_de_Pino_Mesofilo_de_Montana			-0.105815656	4.60615013	2.167473418	8238	506	1.031803836	0.18208303	0.752609857	3.43529983	24.42340374
MX35_Mecacalco	MX35	19.78	-97.1	Mexico:Veracruz:Mecacalco	MÃ©xico	Veracruz	Plan de LimÃ³n	Mecacalco	40	2500	100	43136	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Veracruz Moist Forests	VIII	Bosque_de_Pino_Mesofilo_de_Montana			-0.633000604	3.742410775	0.165714286	5076	950	0.591016548	6.934594169	0.177304965	4.432624113	2.698975571
MX36_Alseseca	MX36	19.85	-97.22	Mexico:Veracruz:Alseseca	MÃ©xico	Veracruz	Tepetzintla	Alseseca	40	2500	100	43151	forest: tropical coniferous forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Veracruz Moist Forests	VIII	Bosque_de_Pino_Mesofilo_de_Montana			4.917353265	3.200200216	0.182074689	4189	466	0.262592504	0.238720458	0	0.214848413	0
MX2b_Zempoala	MX2b	19.05	-99.31	Mexico:Morelos:Zempoala	MÃ©xico	Morelos	Zempoala	Zempoala	40	2500	100	42012	forest: tropical coniferous forest biome	Mexican Dry & Coniferous Forests Bioregion	Trans-mexican Volcanic belt Pine-Oak Forests	III	Bosque_de_Pino_Oyamel			0.507541719	10.31534484	1.414736842	11369	2562	0.043979242	5.567772012	0.096754332	0.061570939	0.422200721
S914_Lagos_de_Monte_Bello_3	S914	16.1	-91.69	Mexico:Chiapas:Lagos de Monte Bello	MÃ©xico	Chiapas	Laguna de Montebello	Lagos_de_Monte_Bello_3	40	2500	100	43440	forest: tropical coniferous forest biome	Yucatan & Veracruz Mixed Forests Bioregion	PetÃ©n-Veracruz moist forests	IX	Bosque_Mesofilo_de_Montana	molds_above_5SD_median		1.033892977	5.674049864	3.880605208	7415	967	59.04248146	0.148347943	0.04045853	0.93054619	2.38705327
MX33_Lagos_de_Monte_Bello_1	MX33	16.09	-91.68	Mexico:Chiapas:Lagos de Monte Bello	MÃ©xico	Chiapas	Nuevo BelÃ©n	Lagos_de_Monte_Bello_1	40	2500	100	43305	forest: tropical broadleaf forest biome	Central american Mixed forests bioregion	Chiapas Montane Forests	VIII	Bosque_Mesofilo_de_Montana		molds_above_5SD_median	4.422471254	3.130491267	4.888721625	22031	866	5.483182788	0.25872634	0	54.95438246	1.416186283
G5139_Villa_Cielo_Cozumel	G5139	20.26	-87.39	Mexico:Cozumel	MÃ©xico	Quintana Roo	Tulsayab	Villa_Cielo_Cozumel	40	2500	100	43652	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	VI	Duna_Costera			3.593704534	3.214139761	63.39815505	3653	442	1.532986586	0.191623323	0.191623323	0.328497126	0
S529_Xixim	S529	20.94	-90.37	Mexico:YucatÃ¡n:Xixim	MÃ©xico	YucatÃ¡n	Santa cruz Xixim	Xixim	40	2500	100	42254	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Mesoamerican Gulf-Caribbean Mangroves.	VI	Duna_Costera			5.082259695	0.553809484	146.7856229	7886	294	1.052498098	0	0.0507228	0.0380421	0
G5136_Noham	G5136	19.08	-91.06	Mexico:Campeche:Noham	MÃ©xico	Campeche	Nohan	Noham	40	2500	100	43649	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Mesoamerican Gulf-Caribbean Mangroves.	I	Manglar			-0.588737984	5.651195464	77.43915553	4597	998	1.196432456	0.848379378	0.152273222	0.065259952	0
